time_s,altitude_km,velocity_ms,mach,heat_flux_Wm2
6.556890824422454855e+00,1.152238059514878756e+02,7.599941165876403829e+03,2.772672980802168752e+01,1.695367794643486923e+04
6.591220167593427881e+00,1.151987996999249901e+02,7.599940961185712695e+03,2.772672906125228920e+01,1.698242966796772816e+04
6.625549511689020399e+00,1.151737934483620904e+02,7.599940755782882661e+03,2.772672831188480558e+01,1.701123038397574783e+04
6.659878856712428075e+00,1.151487871967991907e+02,7.599940549665434446e+03,2.772672755991019855e+01,1.704008017011090487e+04
6.694208202666859897e+00,1.151237809452363194e+02,7.599940342830883310e+03,2.772672680531939449e+01,1.706897910222368228e+04
6.728537549555594133e+00,1.150987746936734197e+02,7.599940135276734509e+03,2.772672604810329489e+01,1.709792725636203977e+04
6.762866897381861975e+00,1.150737684421105200e+02,7.599939927000482385e+03,2.772672528825275862e+01,1.712692470877028245e+04
6.797196246148905274e+00,1.150487621905476345e+02,7.599939717999616732e+03,2.772672452575862678e+01,1.715597153588820947e+04
6.831525595860036937e+00,1.150237559389847490e+02,7.599939508271616432e+03,2.772672376061170496e+01,1.718506781435006633e+04
6.865854946518501478e+00,1.149987496874218635e+02,7.599939297813951271e+03,2.772672299280275965e+01,1.721421362098352256e+04
6.900184298127635785e+00,1.149737434358589638e+02,7.599939086624081938e+03,2.772672222232252537e+01,1.724340903280893326e+04
6.934513650690726116e+00,1.149487371842960641e+02,7.599938874699461849e+03,2.772672144916171177e+01,1.727265412703833499e+04
6.968843004211072056e+00,1.149237309327331928e+02,7.599938662037535323e+03,2.772672067331100010e+01,1.730194898107463086e+04
7.003172358692044241e+00,1.148987246811702931e+02,7.599938448635736677e+03,2.772671989476102183e+01,1.733129367251075382e+04
7.037501714136964459e+00,1.148737184296073934e+02,7.599938234491491130e+03,2.772671911350239071e+01,1.736068827912883353e+04
7.071831070549166043e+00,1.148487121780445221e+02,7.599938019602215718e+03,2.772671832952568138e+01,1.739013287889945059e+04
7.106160427932055157e+00,1.148237059264816224e+02,7.599937803965320199e+03,2.772671754282144008e+01,1.741962754998091259e+04
