nodenumber     x-coordinate     y-coordinate     z-coordinate     y-coordinate pressure-coefficient 
       245 -1.562696546E-01  2.918914855E-01 -1.586632490E+00  2.918914855E-01  1.129383087E+00 
       246 -8.385316133E-01  5.580000281E-01 -1.586579204E+00  5.580000281E-01  6.811833382E-02 
       247  8.385316133E-01  5.580000281E-01 -1.586579204E+00  5.580000281E-01  6.996234506E-02 
       248 -8.046485186E-01  6.500788331E-01 -1.583523631E+00  6.500788331E-01  3.556448594E-02 
       249  7.611517906E-01  7.459791303E-01 -1.583132148E+00  7.459791303E-01  2.994390950E-02 
       250  6.319282651E-01  9.916442633E-01 -1.582140565E+00  9.916442633E-01  2.720559202E-02 
       251  2.186647356E-01  2.925130725E-01 -1.580898285E+00  2.925130725E-01  1.232300043E+00 
       252 -8.200363517E-01  4.372742176E-01 -1.580838442E+00  4.372742176E-01  2.638388276E-01 
       253  4.490832090E-01  1.254757762E+00 -1.580137610E+00  1.254757762E+00  1.978293434E-02 
       254  4.095221404E-03  1.508813739E+00 -1.579604626E+00  1.508813739E+00  2.894541249E-02 
       255 -2.184027284E-01  2.917882204E-01 -1.579004049E+00  2.917882204E-01  1.129743218E+00 
       256  8.180704117E-01  4.311883152E-01 -1.578753114E+00  4.311883152E-01  2.812700272E-01 
       257 -7.718529105E-01  3.952018023E-01 -1.578386188E+00  3.952018023E-01  4.448778033E-01 
       258 -1.723516732E-01  1.481301188E+00 -1.577257991E+00  1.481301188E+00  3.270181641E-02 
       259  8.611917496E-01  4.875437021E-01 -1.576305151E+00  4.875437021E-01  1.484354436E-01 
       260 -7.285992503E-01  8.460779786E-01 -1.575150013E+00  8.460779786E-01  2.091003023E-02 
       261 -7.753474116E-01  7.548002601E-01 -1.574183583E+00  7.548002601E-01  2.305474691E-02 
       262  1.737997979E-01  1.493792534E+00 -1.573891044E+00  1.493792534E+00  2.454773895E-02 
       263 -5.112898350E-01  3.152177036E-01 -1.573588252E+00  3.152177036E-01  1.039387345E+00 
       264  5.112898350E-01  3.152177036E-01 -1.573588252E+00  3.152177036E-01  1.077175498E+00 
       265  6.919737458E-01  9.238482714E-01 -1.573205113E+00  9.238482714E-01  2.917891368E-02 
       266  2.807759345E-01  2.929750085E-01 -1.572293043E+00  2.929750085E-01  1.237539530E+00 
       267 -6.750217676E-01  3.470532298E-01 -1.571738005E+00  3.470532298E-01  8.002775311E-01 
       268  7.753471136E-01  3.887676597E-01 -1.571345329E+00  3.887676597E-01  4.510788918E-01 
       269  6.766629219E-01  3.470462263E-01 -1.571022391E+00  3.470462263E-01  7.089770436E-01 
       270  2.642653286E-01  1.462547660E+00 -1.569320083E+00  1.462547660E+00  2.170400135E-02 
       271 -2.801881731E-01  2.917072475E-01 -1.569001794E+00  2.917072475E-01  1.133085370E+00 
